user_type,pair,hash,height,time,order_id,status,direction,bidder_addr,offer_amount,ask_amount,leverage,margin_amount,entry_price,take_profit,stop_loss,pnl,fee,funding_payment,,
USER,ORAI_USDC,AA677938E124AE43C10D99B1B205D3717B11AAC2B6555BBF4800EB622DC796B3,14291688,2023-11-08 10:20:57,6,Close,BUY,orai12zyu8w93h0q2lcnt50g3fn0w3yqnhy4fvawaqz,2.996398,0.76634,1.499099,1.9988,3.910013,4.040346,0,-0.000002,0.0012,0,,
USER,ORAI_USDC,DBF51D9CC4C6DDC2AFE1C1BBE5157361919B5B7752216ED4DDD6D708F5179ED9,14291669,2023-11-08 10:19:09,7,Close,BUY,orai12zyu8w93h0q2lcnt50g3fn0w3yqnhy4fvawaqz,0.999598,0.25565,1,0.9996,3.910033,5.865049,0,-0.000002,0.0004,0,,
USER,ORAI_USDC,2A731A6B1894697825CA9581971F1C7E0DE16B4C394B7B0F3990765834224510,14489467,2023-11-21 15:23:54,8,Close,BUY,orai12zyu8w93h0q2lcnt50g3fn0w3yqnhy4fvawaqz,0.999596,0.255651,1,0.9996,3.910017,4.301018,0,-0.000004,0.0004,0,,
USER,ORAI_USDC,1C60DA76760E0E710018883674FD19B16C47FEFEB9A48AE72ACBC2742C3626A6,14490898,2023-11-21 17:40:32,9,Close,BUY,orai12zyu8w93h0q2lcnt50g3fn0w3yqnhy4fvawaqz,0.369924,0.092481,3,0.123309,4.000032,4.4,1.8,-0.000003,0.000148,0,,
USER,ORAI_USDC,E3C9CF36751ADE616EEA14D629E9DE2D5FC9557147F9E3FB8A99DF4F93C612B3,14491189,2023-11-21 18:08:23,12,Close,BUY,orai12zyu8w93h0q2lcnt50g3fn0w3yqnhy4fvawaqz,0.999596,0.249899,1,0.9996,4.000016,4.400017,0,-0.000004,0.0004,0,,
USER,ORAI_USDC,6C2BB15105C9410DAC8C1B763123E3B3880268C80CB3101968A36FA7CD4AD13C,14491222,2023-11-21 18:11:31,13,Close,BUY,orai12zyu8w93h0q2lcnt50g3fn0w3yqnhy4fvawaqz,1.998398,0.499599,2,0.9992,4.000008,4.200008,0,-0.000002,0.0008,0,,
USER,ORAI_USDC,7818FAE8BFA63431D99B4638E1317276930EF5D8B0628AAFC5A0FA24BF3C2AAA,14504419,2023-11-22 15:11:40,14,Close,BUY,orai12zyu8w93h0q2lcnt50g3fn0w3yqnhy4fvawaqz,0.999198,0.249899,1,0.9996,4.000016,4.400017,0,-0.000402,0.0004,0.000206,,
USER,ORAI_USDC,F87BEFB01C292234ECC182B24BF09BF7E4898E49C28CBD7325009437887E28BA,14504194,2023-11-22 14:50:09,15,Close,SELL,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,300.732496,75.1981,3,100.244165,3.999203,3.998502,4.079186,-0.000001,0.120436,-0.030831,,
USER,ORAI_USDC,5E528B7976638F1DED7F80B1D3B7835753CA079C29A168C90C808D5CBB411751,14504294,2023-11-22 14:59:43,16,Close,SELL,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,300.103127,75.040695,3,100.034375,3.999205,3.999087,4.079188,-0.000002,0.120184,0,,
USER,ORAI_USDC,947E795D5AE35D45F88A27E3D4F673B5BB1045E34150C35BF6194F136D78EC51,14504342,2023-11-22 15:04:17,17,Close,SELL,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,299.382882,74.860562,3,99.794293,3.999206,3.99895,4.079189,-0.000003,0.119896,0,,
